	unixtime	low	high	open	close	volume	intervallStart_datetime
5255	1514432700	12999.45	13083.69	12999.45	13069.81	2.6986419000000006	2017-12-28 04:45:00
5256	1514433000	13072.53	13100.0	13072.53	13099.98	1.6656792100000002	2017-12-28 04:50:00
5257	1514433300	13099.41	13100.81	13099.95	13099.41	1.3699674800000001	2017-12-28 04:55:00
5258	1514433600	13090.0	13139.99	13099.0	13091.37	1.35364266	2017-12-28 05:00:00
5259	1514433900	12990.0	13090.0	13090.0	13027.06	4.399314819999999	2017-12-28 05:05:00
5260	1514434200	13045.9	13100.0	13045.9	13100.0	1.0383498800000002	2017-12-28 05:10:00
5261	1514434500	13099.99	13159.0	13100.0	13159.0	5.138982809999999	2017-12-28 05:15:00
5262	1514434800	13155.18	13159.0	13158.99	13158.0	5.070881919999999	2017-12-28 05:20:00
5263	1514435100	13110.24	13158.0	13158.0	13113.38	3.396134379999999	2017-12-28 05:25:00
5264	1514435400	13113.37	13174.55	13113.37	13173.33	2.82529961	2017-12-28 05:30:00
5265	1514435700	13146.89	13173.36	13173.31	13146.89	1.24668049	2017-12-28 05:35:00
5266	1514436000	13047.26	13146.9	13146.89	13121.72	1.69798052	2017-12-28 05:40:00
5267	1514436300	13121.66	13121.67	13121.67	13121.67	1.1744576699999998	2017-12-28 05:45:00
5268	1514436600	13121.0	13121.66	13121.66	13121.0	1.1977704599999999	2017-12-28 05:50:00
5269	1514436900	13121.0	13121.01	13121.01	13121.01	0.9225483400000001	2017-12-28 05:55:00
5270	1514437200	13110.0	13121.01	13121.0	13110.01	0.7091870100000001	2017-12-28 06:00:00
5271	1514437500	12924.62	13110.01	13110.01	12928.41	2.8462452599999994	2017-12-28 06:05:00
5272	1514437800	12900.0	13000.33	12926.78	12905.79	2.8693577799999996	2017-12-28 06:10:00
5273	1514438100	12875.0	12902.94	12902.94	12886.87	4.606512849999998	2017-12-28 06:15:00
5274	1514438400	12852.0	12964.32	12880.89	12945.44	9.507252389999996	2017-12-28 06:20:00
5275	1514438700	12881.4	12950.0	12950.0	12894.36	3.935552659999999	2017-12-28 06:25:00
5276	1514439000	12894.23	12987.76	12894.36	12930.01	2.650974830000001	2017-12-28 06:30:00
5277	1514439300	12852.0	12930.01	12930.01	12881.56	2.8253733299999992	2017-12-28 06:35:00
5278	1514439600	12801.4	12881.54	12880.0	12801.4	3.6890561699999975	2017-12-28 06:40:00
5279	1514439900	12750.0	12803.46	12803.46	12756.5	9.482127879999991	2017-12-28 06:45:00
5280	1514440200	12738.78	12960.15	12759.86	12867.01	4.932293109999999	2017-12-28 06:50:00
5281	1514440500	12710.0	12870.89	12855.0	12727.64	6.216176709999992	2017-12-28 06:55:00
5282	1514440800	12701.0	12749.97	12717.37	12749.92	3.7307986199999985	2017-12-28 07:00:00
5283	1514441100	12705.0	12749.96	12749.92	12711.96	4.527840149999997	2017-12-28 07:05:00
5284	1514441400	12711.96	12957.54	12711.96	12910.0	4.431623559999998	2017-12-28 07:10:00
5285	1514441700	12753.85	12950.0	12926.43	12841.14	2.24122166	2017-12-28 07:15:00
5286	1514442000	12727.76	12841.14	12841.14	12739.14	2.9218424199999995	2017-12-28 07:20:00
5287	1514442300	12720.1	12835.0	12739.14	12805.54	4.958736129999997	2017-12-28 07:25:00
5288	1514442600	12720.12	12915.5	12794.42	12887.98	4.181999309999998	2017-12-28 07:30:00
5289	1514442900	12783.7	12861.04	12861.04	12813.23	2.5501839699999995	2017-12-28 07:35:00
5290	1514443200	12770.66	12885.26	12818.33	12781.47	3.801369909999998	2017-12-28 07:40:00
5291	1514443500	12720.12	12781.43	12781.43	12730.0	6.233372059999994	2017-12-28 07:45:00
5292	1514443800	12727.98	12844.9	12727.98	12819.08	7.564472199999997	2017-12-28 07:50:00
5293	1514444100	12729.99	12831.74	12831.69	12732.4	4.829116819999998	2017-12-28 07:55:00
5294	1514444400	12731.27	12818.55	12732.38	12816.56	5.110688559999994	2017-12-28 08:00:00
5295	1514444700	12816.55	12818.55	12816.56	12818.0	2.803526589999999	2017-12-28 08:05:00
5296	1514445000	12780.0	12818.0	12818.0	12793.79	3.6381637699999994	2017-12-28 08:10:00
5297	1514445300	12793.81	12916.61	12793.82	12899.0	10.181615639999993	2017-12-28 08:15:00
5298	1514445600	12899.0	12946.98	12899.0	12921.49	4.653332789999997	2017-12-28 08:20:00
5299	1514445900	12921.48	12921.5	12921.49	12921.49	4.229335619999998	2017-12-28 08:25:00
5300	1514446200	12905.53	12940.0	12921.49	12918.41	3.641248409999998	2017-12-28 08:30:00
5301	1514446500	12917.19	12993.0	12918.41	12993.0	8.301836079999996	2017-12-28 08:35:00
5302	1514446800	12972.24	13090.85	12972.24	13065.0	7.126665539999996	2017-12-28 08:40:00
5303	1514447100	13065.0	13090.83	13068.77	13090.83	4.015723719999999	2017-12-28 08:45:00
5304	1514447400	12852.05	13090.85	13090.83	12999.96	7.639211079999995	2017-12-28 08:50:00
5305	1514447700	12978.5	13001.22	12999.96	12979.85	5.910905509999992	2017-12-28 08:55:00
5306	1514448000	12941.94	12986.71	12979.83	12983.0	3.4077487299999967	2017-12-28 09:00:00
5307	1514448300	12969.05	13039.0	12983.0	13020.25	4.329687179999994	2017-12-28 09:05:00
5308	1514448600	12997.93	13030.0	13016.53	12997.94	7.074861309999992	2017-12-28 09:10:00
5309	1514448900	12900.0	12997.94	12997.94	12908.81	7.380821789999991	2017-12-28 09:15:00
5310	1514449200	12800.0	12909.0	12908.56	12816.28	7.140341589999994	2017-12-28 09:20:00
5311	1514449500	12770.01	12850.41	12816.27	12786.14	7.8810372399999915	2017-12-28 09:25:00
5312	1514449800	12761.29	12876.06	12786.1	12850.39	12.187550489999978	2017-12-28 09:30:00
5313	1514450100	12850.38	12911.9	12850.38	12892.01	6.05263852999999	2017-12-28 09:35:00
5314	1514450400	12877.33	12894.39	12892.01	12892.59	6.862999339999994	2017-12-28 09:40:00
5315	1514450700	12869.04	12894.68	12892.59	12869.63	5.482605999999988	2017-12-28 09:45:00
5316	1514451000	12864.46	12883.85	12869.63	12883.85	9.154455129999988	2017-12-28 09:50:00
5317	1514451300	12883.84	13016.01	12883.85	13016.01	7.728242799999984	2017-12-28 09:55:00
5318	1514451600	12948.48	13016.01	12997.99	12948.52	5.574047319999992	2017-12-28 10:00:00
5319	1514451900	12940.0	12961.87	12948.52	12956.96	6.62774452999999	2017-12-28 10:05:00
5320	1514452200	12954.0	12970.99	12956.96	12970.99	5.0246006999999935	2017-12-28 10:10:00
5321	1514452500	12970.0	13040.37	12971.02	13038.37	5.76198776999999	2017-12-28 10:15:00
5322	1514452800	13027.0	13050.03	13038.35	13050.03	5.96118374999999	2017-12-28 10:20:00
5323	1514453100	13050.06	13124.62	13050.06	13124.62	7.24337849999999	2017-12-28 10:25:00
