;unixtime;low;high;open;close;volume;datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall
244;1514169900;12100;12250,4;12200;12156,66;6,33203783;25.12.2017 02:45;12169,02;-63,92577126;11,4317203;-0,178828039;38,65667617;-13,81922052;-0,357486;UP;UP;UP
245;1514169000;12200;12318,1;12318,09;12200;17,21081188;25.12.2017 02:30;12239,36667;-49,6937716;14,23199966;-0,286394033;45,70860573;7,051929561;0,154280128;UP;UP;UP
246;1514168100;12318,09;12318,1;12318,1;12318,1;7,32477572;25.12.2017 02:15;12318,09667;-28,02728738;21,66648422;-0,773049633;59,77618162;14,06757589;0,235337479;DOWN;UP;UP
247;1514167200;12252;12318,1;12300;12318,1;8,86518957;25.12.2017 02:00;12296,06667;-11,49592219;16,53136518;-1,438019926;53,75972744;-6,016454184;-0,111913778;UP;UP;UP
248;1514166300;12300;12500;12458,79;12300;5,9051945;25.12.2017 01:45;12366,66667;-4,419608352;7,076313841;-1,601117854;57,16835026;3,408622824;0,059624299;UP;UP;UP
249;1514165400;12324,52;12460,15;12460,01;12458,79;8,28166987;25.12.2017 01:30;12414,48667;16,91184127;21,33144962;1,26133218;58,75105486;1,582704594;0,026939169;UP;UP;UP
250;1514164500;12453,1;12563,16;12457,58;12468,32;9,46501179;25.12.2017 01:15;12494,86;35,4412308;18,52938953;0,522820148;60,67597477;1,924919911;0,031724582;UP;UP;UP
251;1514163600;12453,1;12665;12649,98;12459,09;24,43551823;25.12.2017 01:00;12525,73;52,26257816;16,82134736;0,32186218;67,00471061;6,328735843;0,094452103;UP;UP;DOWN
252;1514162700;12621,51;12650;12621,52;12649,99;20,97160783;25.12.2017 00:45;12640,5;85,04768586;32,7851077;0,385490885;76,83229443;9,827583816;0,127909545;DOWN;DOWN;DOWN
253;1514161800;12509,99;12621,53;12510;12621,53;8,27807124;25.12.2017 00:30;12584,35;106,6231254;21,57543955;0,202352346;66,12246775;-10,70982668;-0,161969555;DOWN;UP;DOWN
